fpr,tpr
0.0,0.0
0.0,0.0001343183344526528
0.0,0.0020147750167897917
0.0,0.0022834116856950974
0.0,0.002686366689053056
0.0,0.0030893216924110143
0.0,0.0033579583613163196
0.0,0.0036265950302216254
0.0,0.0042981867024848896
0.0,0.0047011417058428475
0.0,0.005910006715916722
0.0,0.0061786433848220286
0.0,0.007924781732706514
0.0,0.00819341840161182
0.0,0.008596373404969779
0.0,0.008865010073875084
0.0,0.009267965077233042
0.0,0.009670920080591
0.0,0.010208193418401611
0.0,0.011148421759570181
0.0,0.011417058428475487
0.0,0.011954331766286097
0.0,0.012222968435191404
0.0,0.012625923438549362
0.0,0.012894560107454668
0.0,0.01302887844190732
0.0,0.013297515110812626
0.0,0.01490933512424446
0.0,0.015177971793149765
0.0,0.01638683680322364
0.0,0.0167897918065816
0.0,0.016924110141034253
0.0,0.017192746809939558
0.0,0.01732706514439221
0.0,0.017595701813297514
0.0,0.01773002014775017
0.0,0.017998656816655474
0.0,0.020550705171255877
0.0,0.021087978509066487
0.0,0.0241773002014775
0.0,0.02458025520483546
0.0,0.024848891873740765
0.0,0.025789120214909336
0.0,0.02605775688381464
0.0,0.02699798522498321
0.0,0.027266621893888517
0.0,0.028206850235057087
0.0,0.028475486903962392
0.0,0.028744123572867698
0.0,0.029012760241773003
0.0,0.030087306917394224
0.0,0.03035594358629953
0.0,0.031161853593015446
0.0,0.031430490261920754
0.0,0.03183344526527871
0.0,0.03237071860308932
0.0,0.03277367360644728
0.0,0.03331094694425789
0.0,0.03546004029550034
0.0,0.03572867696440564
0.0,0.03895231699126931
0.0,0.03948959032907992
0.0,0.04231027535258563
0.0,0.04257891202149093
0.0,0.044056413700470115
0.0,0.04432505036937542
0.0,0.044593687038280726
0.0,0.04486232370718603
0.0,0.04674278038952317
0.0,0.04701141705842848
0.0,0.04768300873069174
0.0,0.047951645399597044
0.0,0.04822028206850235
0.0,0.048488918737407655
0.0,0.04889187374076562
0.0,0.04916051040967092
0.0,0.05010073875083949
0.0,0.050369375419744795
0.0,0.051712558764271326
0.0,0.05251846877098724
0.0,0.05265278710543989
0.0,0.0531900604432505
0.0,0.05359301544660846
0.0,0.05439892545332438
0.0,0.05601074546675621
0.0,0.05627938213566152
0.0,0.056950973807924785
0.0,0.057219610476830086
0.0,0.057488247145735395
0.0,0.0577568838146407
0.0,0.05789120214909335
0.0,0.05815983881799865
0.0,0.05963734049697784
0.0,0.05990597716588314
0.0,0.06044325050369376
0.0,0.06071188717259906
0.0,0.06098052384150437
0.0,0.06124916051040967
0.0,0.06232370718603089
0.0,0.06272666218938885
0.0,0.06286098052384151
0.0,0.0631296171927468
0.0,0.06447280053727333
0.0,0.06527871054398926
0.0,0.06568166554734721
0.0,0.06608462055070517
0.0,0.06621893888515783
0.0,0.06648757555406314
0.0,0.06756212222968436
0.0,0.06783075889858965
0.0,0.06863666890530558
0.0,0.06890530557421087
0.0,0.06903962390866353
0.0,0.06930826057756884
0.0,0.06944257891202149
0.0,0.0697112155809268
0.0,0.06984553391537945
0.0,0.07011417058428475
0.0,0.07548690396239087
0.0,0.07588985896574882
0.0,0.07615849563465413
0.0,0.07656145063801209
0.0,0.08032236400268637
0.0,0.08059100067159167
0.0,0.08099395567494963
